,id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
15,6.90207E+18,0,14103019,1005,1,7dd19f44,9690165f,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,ff7ddfd2,fce66524,1,0,23922,320,50,2742,0,163,-1,17
16,6.90215E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,e5d74b75,c136b9bf,1,0,23160,320,50,2667,0,47,-1,221
17,6.90223E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,e5b56d72,dc15c87e,1,2,23729,320,50,2717,2,47,-1,23
18,6.90233E+18,0,14103019,1005,1,e4d8dd7b,a17bde68,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,4676b5f1,68b6db2c,1,0,19771,320,50,2227,0,935,100081,48
19,6.90252E+18,0,14103019,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ed8614c7,5096d134,1,0,22676,320,50,2616,0,35,100083,51
20,6.90257E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,e5c0f642,cd5b1559,1,2,23161,320,50,2667,0,47,-1,221
21,6.90264E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,685d1c4c,2347f47a,8ded1f7a,a99f214a,3fe820d2,ff065cf0,1,2,23737,320,50,2676,0,299,-1,221
22,6.90275E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,a99f214a,cf21cee2,d4897fef,1,0,4687,320,50,423,2,39,100148,32
23,6.90287E+18,0,14103019,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,6dfe427b,8a4875bd,1,0,15706,320,50,1722,0,35,-1,79
24,6.90293E+18,0,14103019,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,fae01115,fce66524,1,0,23722,320,50,2716,3,47,-1,23
25,6.90308E+18,0,14103019,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,7577d9c1,8a4875bd,1,0,15699,320,50,1722,0,35,100083,79
26,6.90309E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,d36838b1,0e8616ad,0f2161f8,a99f214a,2aa2308f,5096d134,1,0,23866,320,50,2736,0,33,-1,246
27,6.9031E+18,1,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,5cdedf25,4ea23a13,1,0,23161,320,50,2667,0,47,-1,221
28,6.90317E+18,0,14103019,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,b33a8726,8a4875bd,1,0,15701,320,50,1722,0,35,-1,79
29,6.9036E+18,0,14103019,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,0345a137,5096d134,1,0,22676,320,50,2616,0,35,100083,51
30,6.90366E+18,0,14103019,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,f912fe67,be74e6fe,1,0,22832,320,50,2647,2,39,100148,23
31,6.90375E+18,0,14103019,1005,0,e3c09f3a,d262cf1e,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,7f9607be,c2f58bae,1,2,24043,320,50,2757,3,299,100112,61
32,6.90378E+15,1,14103019,1002,0,203b00f1,c4e18dd6,50e219e0,ecad2386,7801e8d9,07d7df22,0f7c61dc,21f91bb4,373ecbe6,0,0,23438,320,50,2684,2,1327,100004,52
33,6.90399E+17,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,e9c066ee,21b5fb3d,1,2,23728,320,50,2717,2,47,-1,23
34,6.90402E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,3e2bf98d,2347f47a,0f2161f8,1635772a,8267c6b0,d6e0e6ff,1,0,23923,320,50,2742,0,163,-1,17
35,6.90408E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,3b7ef140,91c9c83e,1,0,23160,320,50,2667,0,47,-1,221
36,6.90416E+18,0,14103019,1005,0,fa004722,2296b5b3,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,431b8dbf,a0f5f879,1,0,22781,320,50,2643,2,35,-1,23
37,6.90418E+17,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,1532efc4,666b99fe,6d44e29a,1,0,4687,320,50,423,2,39,100148,32
38,6.90438E+18,0,14103019,1005,1,85f751fd,c4e18dd6,50e219e0,8f547596,6a0a3a9d,0f2161f8,a99f214a,fd4959f5,99e427c9,1,0,20508,320,50,2351,3,163,100020,61
39,6.90439E+18,0,14103019,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,6929d972,8a4875bd,1,0,15702,320,50,1722,0,35,-1,79
40,6.90447E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,3c4b944d,2347f47a,0f2161f8,475e2327,9631fddf,158e4944,1,0,22936,320,50,2653,0,1071,-1,94
41,6.90466E+16,1,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,c6a4b84b,d6e0e6ff,1,0,23160,320,50,2667,0,47,-1,221
42,6.90467E+18,0,14103019,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,e6a00ba6,2203a096,1,0,22104,320,50,2545,0,431,100084,221
43,6.90499E+18,1,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,9aa57c9e,95a0fb49,1,0,23728,320,50,2717,2,47,100233,23
44,6.90503E+18,1,14103019,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,e82c1328,1f0bc64f,1,0,22254,320,50,2545,0,431,100084,221
45,6.90538E+18,0,14103019,1005,0,4e430aa3,964a3bd1,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,125defce,a0f5f879,1,0,18947,320,50,2153,3,427,100063,61
46,6.90568E+18,0,14103019,1005,0,6256f5b4,28f93029,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,af9205f9,3bb1ddd7,1,0,23626,320,50,2707,3,937,100156,61
47,6.90584E+18,0,14103019,1005,0,5b08c53b,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,6b86fa4b,4ea23a13,1,0,17654,300,250,1994,2,39,-1,33
48,6.90592E+18,1,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,3649644e,d4897fef,1,0,23160,320,50,2667,0,47,-1,221
49,6.90607E+18,1,14103019,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,565a73aa,2203a096,1,0,22676,320,50,2616,0,35,-1,51
50,6.90615E+18,1,14103019,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,464e504b,711ee120,1,0,22254,320,50,2545,0,431,100084,221
51,6.90628E+18,1,14103019,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,c244491b,1f0bc64f,1,0,23723,320,50,2716,3,47,-1,23
52,6.90636E+17,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,611b9439,1f0bc64f,1,0,23726,320,50,2717,2,47,-1,23
53,6.90652E+18,0,14103019,1005,0,5b08c53b,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,475c6de9,be87996b,1,2,19015,300,250,2162,2,39,-1,33
54,6.90668E+18,0,14103019,1005,1,e4d8dd7b,a17bde68,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,b9a01eeb,76dc4769,1,0,19986,320,50,2278,2,35,-1,95
55,6.90672E+18,0,14103019,1005,1,57ef2c87,bd6d812f,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,65a46d2d,d787e91b,1,0,17893,320,50,2039,2,39,100079,32
56,6.90696E+18,0,14103019,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,2f90bb4a,8a4875bd,1,0,21893,320,50,2526,0,167,100081,221
57,6.90698E+18,0,14103019,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ac77b71a,711ee120,1,0,22257,320,50,2545,0,431,-1,221
58,6.907E+18,0,14103019,1005,1,85f751fd,c4e18dd6,50e219e0,1dc72b4d,2347f47a,0f2161f8,185ab72a,fce0a98f,a9ccc279,1,0,23712,300,50,2714,3,47,-1,23
59,6.90715E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,d36838b1,0e8616ad,0f2161f8,a99f214a,69e1e482,f0e794f8,1,0,23866,320,50,2736,0,33,100171,246
60,6.90734E+17,0,14103019,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,5a900f6c,be74e6fe,1,0,21687,320,50,2495,2,167,100182,23
61,6.90738E+18,1,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,d36838b1,0e8616ad,0f2161f8,a99f214a,f80648a8,ef726eae,1,0,23866,320,50,2736,0,33,100170,246
62,6.90744E+18,0,14103019,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,451ea9e0,8a4875bd,1,0,15707,320,50,1722,0,35,-1,79
63,6.90793E+18,0,14103019,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,4811aeda,d787e91b,1,0,20108,320,50,2299,2,1327,-1,52
64,6.90801E+18,0,14103019,1005,0,6256f5b4,28f93029,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,cbeea64f,be74e6fe,1,0,6563,320,50,572,2,39,-1,32
65,6.90812E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,2bcf12c0,be6db1d7,1,0,23726,320,50,2717,2,47,-1,23
66,6.90824E+18,0,14103019,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,fec9a8a7,e9b8d8d7,1,0,20108,320,50,2299,2,1327,-1,52
67,6.9088E+18,0,14103019,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,26ee5ffe,78d9bd10,1,0,22676,320,50,2616,0,35,100084,51
68,6.90881E+18,1,14103019,1005,0,7294ea0f,863fa89d,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,ecedd7e3,5096d134,1,0,17239,320,50,1973,3,39,100173,23
69,6.90895E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,53de0284,d9b5648e,0f2161f8,a99f214a,696b94d1,2ea4f8ba,1,0,21706,320,50,2498,3,41,100111,61
70,6.90907E+18,1,14103019,1005,1,3281baa7,61eac15d,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,74ec07e3,5ec45883,1,0,15908,320,50,1752,3,297,100081,82
71,6.90911E+18,0,14103019,1005,1,e023ba3e,75f9ddc3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,9b236993,fd621b1f,1,0,23722,320,50,2716,3,47,-1,23
72,6.9092E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,03528b27,2347f47a,8ded1f7a,a99f214a,b0ede4e0,31f63ca2,1,0,22818,320,50,2648,3,39,100148,23
73,6.90935E+18,0,14103019,1005,1,17caea14,0dde25ec,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e292d7e0,8a4875bd,1,0,16208,320,50,1800,3,167,100075,23
74,6.90956E+18,0,14103019,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,95483554,7abbbd5c,1,0,22814,320,50,2647,2,39,100148,23
75,6.91008E+18,1,14103019,1005,1,e8f79e60,c4342784,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,1af460c4,3bc193db,1,0,23722,320,50,2716,3,47,-1,23
76,6.91043E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,7beaad54,1f0bc64f,1,0,23160,320,50,2667,0,47,-1,221
77,6.91062E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,685d1c4c,2347f47a,8ded1f7a,a99f214a,1db96ffe,0af36777,1,3,23739,320,50,2676,0,299,100177,221
78,6.91071E+18,0,14103019,1005,1,070ca277,6087b30a,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,6b231778,4ceb2e0b,1,0,23725,320,50,2716,3,47,100188,23
79,6.9108E+18,0,14103019,1005,1,92c7cbe7,6e882918,75fa27f6,ecad2386,7801e8d9,07d7df22,a99f214a,f9dd75d0,be6db1d7,1,0,23925,320,50,2742,0,163,-1,17
80,6.91102E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,396df801,2347f47a,0f2161f8,a99f214a,d861f845,f4bb29ad,1,0,23866,320,50,2736,0,33,-1,246
81,6.91104E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,3b182579,fce66524,1,0,23728,320,50,2717,2,47,-1,23
82,6.91107E+18,1,14103019,1005,1,17caea14,0dde25ec,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,473aa620,8a4875bd,1,0,6563,320,50,572,2,39,-1,32
83,6.91116E+18,0,14103019,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,ce02734b,8a4875bd,1,0,21893,320,50,2526,0,167,100075,221
84,6.91126E+18,0,14103019,1005,1,791b5571,fd13bc73,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,8135cf91,6bfbb32f,1,0,17212,320,50,1887,3,39,-1,23
85,6.91132E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,d36838b1,0e8616ad,0f2161f8,a99f214a,da225efe,ef726eae,1,0,23866,320,50,2736,0,33,100170,246
86,6.91147E+17,0,14103019,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ff1c4f79,8a4875bd,1,0,15708,320,50,1722,0,35,-1,79
87,6.91147E+18,0,14103019,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,a2350553,a0f5f879,1,0,22676,320,50,2616,0,35,-1,51
88,6.9115E+18,1,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,e5bef2cc,5aab26c7,1,0,23161,320,50,2667,0,47,-1,221
89,6.91157E+18,0,14103019,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,dff947da,fbd3905e,1,0,22218,216,36,2560,3,43,100182,61
90,6.91173E+17,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,5e81cb8b,3919eb94,1,0,23728,320,50,2717,2,47,-1,23
91,6.91212E+18,0,14103019,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,4103604,8a4875bd,1,0,15703,320,50,1722,0,35,100083,79
92,6.91238E+18,0,14103019,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,a903496b,158e4944,1,0,21678,320,50,2495,2,167,100181,23
93,6.91263E+18,1,14103019,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,985d5804,3371dfeb,1,0,22813,320,50,2647,2,39,100148,23
94,6.91267E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,431a4ab7,2347f47a,0f2161f8,a99f214a,7dec980c,d4311d52,1,2,23730,300,250,2717,2,47,-1,23
95,6.91289E+18,1,14103019,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e8228d31,4abd7cbc,1,0,17014,320,50,1872,3,39,100173,23
96,6.91316E+18,0,14103019,1002,0,2c4ed2f7,c4e18dd6,50e219e0,ecad2386,7801e8d9,07d7df22,f9d19634,1fd8d63f,eab96727,0,0,23438,320,50,2684,2,1327,100173,52
97,6.91316E+18,0,14103019,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,583ef264,d787e91b,1,0,22254,320,50,2545,0,431,100084,221
98,6.91335E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,a99f214a,80547239,2203a096,1,0,4687,320,50,423,2,39,100148,32
99,6.91338E+18,0,14103019,1002,0,61a8c644,c4e18dd6,50e219e0,ecad2386,7801e8d9,07d7df22,40c6a308,f7d9b313,66960a7d,0,0,21789,320,50,2512,2,291,-1,52
100,6.91344E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,33cb62e4,8f25c2b6,7120e05e,1,0,23924,320,50,2742,0,163,-1,17
101,6.91364E+18,0,14103019,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,431b3174,8a4875bd,1,0,15699,320,50,1722,0,35,-1,79
102,6.91373E+16,0,14103019,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,2e3d5843,96a7c171,1,0,23723,320,50,2716,3,47,-1,23
103,6.91414E+18,0,14103019,1005,0,9e8cf15d,0d3cb7be,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,a6a3111d,6332421a,1,0,6392,320,50,547,3,47,100084,23
104,6.9144E+18,1,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,dad7b5fe,89416188,1,0,23161,320,50,2667,0,47,-1,221
105,6.91457E+18,1,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,442e320d,24f6b932,1,0,23160,320,50,2667,0,47,-1,221
106,6.91458E+18,0,14103019,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,7ba9ee68,8a4875bd,1,0,15707,320,50,1722,0,35,100083,79
107,6.91473E+18,0,14103019,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,b402556d,1f883dc7,1,0,22676,320,50,2616,0,35,100083,51
108,6.91473E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,ac32d97f,7abbbd5c,1,0,23160,320,50,2667,0,47,-1,221
109,6.91E+18,1,14103019,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e1893ba2,01d57fd7,1,0,17014,320,50,1872,3,39,-1,23
110,6.91497E+18,0,14103019,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,6bd342cc,8d96a23d,1,2,15708,320,50,1722,0,35,-1,79
111,6.91506E+16,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,20838154,7abbbd5c,1,0,23161,320,50,2667,0,47,-1,221
112,6.91514E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,1fb6aa27,7801e8d9,8ded1f7a,a99f214a,94438749,2b127119,1,2,23867,728,90,2736,0,33,100170,246
113,6.91515E+18,0,14103019,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,36e0cfbe,836d2439,1,0,17262,320,50,1872,3,39,-1,23
114,6.91521E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,fbbccc58,2347f47a,0f2161f8,a99f214a,99819b62,10910243,1,2,23721,300,250,2716,3,47,-1,23
115,6.91531E+18,0,14103019,1005,0,fec6e632,ace5b8fd,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,695cf9c3,d787e91b,1,0,17239,320,50,1973,3,39,100148,23
116,6.91537E+18,0,14103019,1005,0,6227cf3f,3c6ac0d4,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,1e55d046,d9e3c045,1,0,23722,320,50,2716,3,47,-1,23
117,6.91537E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,7d9dafee,639777a9,1,0,23161,320,50,2667,0,47,-1,221
118,6.91538E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,d36838b1,0e8616ad,0f2161f8,a99f214a,eb5b11d4,6db7d068,1,0,23866,320,50,2736,0,33,100172,246
119,6.91555E+17,0,14103019,1005,1,5ee41ff2,17d996e6,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,36d2700a,8a4875bd,1,0,22523,320,50,2599,3,167,-1,23
120,6.91572E+18,1,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,4d671891,2347f47a,0f2161f8,a99f214a,7966badf,ef726eae,1,0,24041,320,50,2756,3,299,100112,61
121,6.91573E+18,0,14103019,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,7f50e9ed,711ee120,1,0,22676,320,50,2616,0,35,100083,51
122,6.91596E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,d36838b1,0e8616ad,0f2161f8,a99f214a,f2471308,c40cc546,1,0,23866,320,50,2736,0,33,100170,246
123,6.91605E+18,0,14103019,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,ccbe7ff7,e9b8d8d7,1,0,22813,320,50,2647,2,39,100148,23
124,6.91614E+18,0,14103019,1007,0,85f751fd,c4e18dd6,50e219e0,dc59eb14,d6feb1a4,cef3e649,2092638d,33e7db25,98f3daa2,1,2,23861,320,50,2735,2,35,100148,251
125,6.91618E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,d74abca1,7abbbd5c,1,0,23161,320,50,2667,0,47,-1,221
126,6.91642E+18,1,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,e40740d6,be6db1d7,1,0,23160,320,50,2667,0,47,-1,221
127,6.91655E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,d2bb6502,2347f47a,8ded1f7a,83bdef92,094111a7,837b5bc8,1,3,23642,320,50,2709,3,39,-1,23
128,6.91668E+18,0,14103019,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,58522327,83a1d35a,1,0,23723,320,50,2716,3,47,-1,23
129,6.91677E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,d36838b1,0e8616ad,0f2161f8,a99f214a,21cbd43c,2319f641,1,2,23866,320,50,2736,0,33,100170,246
130,6.91679E+18,0,14103019,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,6cd6db58,8a4875bd,1,0,15703,320,50,1722,0,35,100084,79
131,6.91683E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,c0c5eb49,f2f777fb,0f2161f8,a99f214a,d7c72019,b4b19c97,1,0,21611,320,50,2480,3,299,100111,61
132,6.917E+18,0,14103019,1002,0,84bfe282,4072d196,50e219e0,ecad2386,7801e8d9,07d7df22,4fcdba77,344bce49,3ec634b5,0,0,21789,320,50,2512,2,291,-1,52
133,6.91704E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,9fff44df,5e142e5b,1,0,23160,320,50,2667,0,47,-1,221
134,6.91706E+18,1,14103019,1005,0,5b08c53b,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,d3c7f33f,44801bc1,1,0,17653,300,250,1994,2,39,-1,33
135,6.92E+18,1,14103019,1005,1,e4d8dd7b,a17bde68,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,0ada8a99,46d98882,1,0,19772,320,50,2227,0,935,100077,48
136,6.91717E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,5c9ab47f,5096d134,1,0,23161,320,50,2667,0,47,-1,221
